Product code,Bureau of Meteorology station number,Year,Month,Day,Rainfall amount (millimetres),Period over which rainfall was measured (days),Quality
IDCJAC0009,66062,2019,1,1,8.8,1,N
IDCJAC0009,66062,2019,1,2,0,1,N
IDCJAC0009,66062,2019,1,3,0,1,N
IDCJAC0009,66062,2019,1,4,0,1,N
IDCJAC0009,66062,2019,1,5,0,1,N
IDCJAC0009,66062,2019,1,6,26.2,1,N
IDCJAC0009,66062,2019,1,7,0,1,N
IDCJAC0009,66062,2019,1,8,0.6,1,N
IDCJAC0009,66062,2019,1,9,4.8,1,N
IDCJAC0009,66062,2019,1,10,0,1,N
IDCJAC0009,66062,2019,1,11,0.8,1,N
IDCJAC0009,66062,2019,1,12,3.8,1,N
IDCJAC0009,66062,2019,1,13,0,1,N
IDCJAC0009,66062,2019,1,14,0,1,N
IDCJAC0009,66062,2019,1,15,0,1,N
IDCJAC0009,66062,2019,1,16,0,1,N
IDCJAC0009,66062,2019,1,17,0,1,N
IDCJAC0009,66062,2019,1,18,0,1,N
IDCJAC0009,66062,2019,1,19,0,1,N
IDCJAC0009,66062,2019,1,20,0,1,N
IDCJAC0009,66062,2019,1,21,0.4,1,N
IDCJAC0009,66062,2019,1,22,0.2,1,N
IDCJAC0009,66062,2019,1,23,0.4,1,N
IDCJAC0009,66062,2019,1,24,0,1,N
IDCJAC0009,66062,2019,1,25,0,1,N
IDCJAC0009,66062,2019,1,26,0,1,N
IDCJAC0009,66062,2019,1,27,0,1,N
IDCJAC0009,66062,2019,1,28,2.8,1,N
IDCJAC0009,66062,2019,1,29,0,1,N
IDCJAC0009,66062,2019,1,30,0,1,N
IDCJAC0009,66062,2019,1,31,0,1,N
IDCJAC0009,66062,2019,2,1,2.8,1,N
IDCJAC0009,66062,2019,2,2,23,1,N
IDCJAC0009,66062,2019,2,3,0,1,N
IDCJAC0009,66062,2019,2,4,0.2,1,N
IDCJAC0009,66062,2019,2,5,0,1,N
IDCJAC0009,66062,2019,2,6,1.8,1,N
IDCJAC0009,66062,2019,2,7,0,1,N
IDCJAC0009,66062,2019,2,8,0,1,N
IDCJAC0009,66062,2019,2,9,17.2,1,N
IDCJAC0009,66062,2019,2,10,0.2,1,N
IDCJAC0009,66062,2019,2,11,0,1,N
IDCJAC0009,66062,2019,2,12,0,1,N
IDCJAC0009,66062,2019,2,13,0,1,N
IDCJAC0009,66062,2019,2,14,0,1,N
IDCJAC0009,66062,2019,2,15,0,1,N
IDCJAC0009,66062,2019,2,16,0,1,N
IDCJAC0009,66062,2019,2,17,0,1,N
IDCJAC0009,66062,2019,2,18,0,1,N
IDCJAC0009,66062,2019,2,19,0,1,N
IDCJAC0009,66062,2019,2,20,7.8,1,N
IDCJAC0009,66062,2019,2,21,5,1,N
IDCJAC0009,66062,2019,2,22,4.4,1,N
IDCJAC0009,66062,2019,2,23,6.6,1,N
IDCJAC0009,66062,2019,2,24,16,1,N
IDCJAC0009,66062,2019,2,25,0.4,1,N
IDCJAC0009,66062,2019,2,26,0,1,N
IDCJAC0009,66062,2019,2,27,0,1,N
IDCJAC0009,66062,2019,2,28,0,1,N
IDCJAC0009,66062,2019,3,1,0,1,N
IDCJAC0009,66062,2019,3,2,6.8,1,N
IDCJAC0009,66062,2019,3,3,0,1,N
IDCJAC0009,66062,2019,3,4,0,1,N
IDCJAC0009,66062,2019,3,5,0,1,N
IDCJAC0009,66062,2019,3,6,0,1,N
IDCJAC0009,66062,2019,3,7,1.4,1,N
IDCJAC0009,66062,2019,3,8,0,1,N
IDCJAC0009,66062,2019,3,9,0,1,N
IDCJAC0009,66062,2019,3,10,0.8,1,N
IDCJAC0009,66062,2019,3,11,0,1,N
IDCJAC0009,66062,2019,3,12,0,1,N
IDCJAC0009,66062,2019,3,13,14.6,1,N
IDCJAC0009,66062,2019,3,14,5.8,1,N
IDCJAC0009,66062,2019,3,15,8.6,1,N
IDCJAC0009,66062,2019,3,16,16,1,N
IDCJAC0009,66062,2019,3,17,43.4,1,N
IDCJAC0009,66062,2019,3,18,75.2,1,N
IDCJAC0009,66062,2019,3,19,4.6,1,N
IDCJAC0009,66062,2019,3,20,5.8,1,N
IDCJAC0009,66062,2019,3,21,0,1,N
IDCJAC0009,66062,2019,3,22,8.4,1,N
IDCJAC0009,66062,2019,3,23,2,1,N
IDCJAC0009,66062,2019,3,24,0.4,1,N
IDCJAC0009,66062,2019,3,25,3.8,1,N
IDCJAC0009,66062,2019,3,26,0.6,1,N
IDCJAC0009,66062,2019,3,27,0,1,N
IDCJAC0009,66062,2019,3,28,0,1,N
IDCJAC0009,66062,2019,3,29,0,1,N
IDCJAC0009,66062,2019,3,30,30.8,1,N
IDCJAC0009,66062,2019,3,31,0.2,1,N
IDCJAC0009,66062,2019,4,1,0,1,N
IDCJAC0009,66062,2019,4,2,0,1,N
IDCJAC0009,66062,2019,4,3,2.8,1,N
IDCJAC0009,66062,2019,4,4,0,1,N
IDCJAC0009,66062,2019,4,5,3,1,N
IDCJAC0009,66062,2019,4,6,4.8,1,N
IDCJAC0009,66062,2019,4,7,0.2,1,N
IDCJAC0009,66062,2019,4,8,0,1,N
IDCJAC0009,66062,2019,4,9,0,1,N
IDCJAC0009,66062,2019,4,10,0,1,N
IDCJAC0009,66062,2019,4,11,0,1,N
IDCJAC0009,66062,2019,4,12,0,1,N
IDCJAC0009,66062,2019,4,13,0,1,N
IDCJAC0009,66062,2019,4,14,0,1,N
IDCJAC0009,66062,2019,4,15,0,1,N
IDCJAC0009,66062,2019,4,16,0,1,N
IDCJAC0009,66062,2019,4,17,0,1,N
IDCJAC0009,66062,2019,4,18,0,1,N
IDCJAC0009,66062,2019,4,19,0,1,N
IDCJAC0009,66062,2019,4,20,0,1,N
IDCJAC0009,66062,2019,4,21,0,1,N
IDCJAC0009,66062,2019,4,22,0,1,N
IDCJAC0009,66062,2019,4,23,0.2,1,N
IDCJAC0009,66062,2019,4,24,0,1,N
IDCJAC0009,66062,2019,4,25,0,1,N
IDCJAC0009,66062,2019,4,26,0,1,N
IDCJAC0009,66062,2019,4,27,0.2,1,N
IDCJAC0009,66062,2019,4,28,0,1,N
IDCJAC0009,66062,2019,4,29,0,1,N
IDCJAC0009,66062,2019,4,30,0,1,N
IDCJAC0009,66062,2019,5,1,0,1,N
IDCJAC0009,66062,2019,5,2,0,1,N
IDCJAC0009,66062,2019,5,3,0,1,N
IDCJAC0009,66062,2019,5,4,10.8,1,N
IDCJAC0009,66062,2019,5,5,0,1,N
IDCJAC0009,66062,2019,5,6,3.8,1,N
IDCJAC0009,66062,2019,5,7,0,1,N
IDCJAC0009,66062,2019,5,8,0,1,N
IDCJAC0009,66062,2019,5,9,0,1,N
IDCJAC0009,66062,2019,5,10,0,1,N
IDCJAC0009,66062,2019,5,11,0,1,N
IDCJAC0009,66062,2019,5,12,0,1,N
IDCJAC0009,66062,2019,5,13,0,1,N
IDCJAC0009,66062,2019,5,14,0,1,N
IDCJAC0009,66062,2019,5,15,0,1,N
IDCJAC0009,66062,2019,5,16,0,1,N
IDCJAC0009,66062,2019,5,17,0,1,N
IDCJAC0009,66062,2019,5,18,0,1,N
IDCJAC0009,66062,2019,5,19,0,1,N
IDCJAC0009,66062,2019,5,20,0,1,N
IDCJAC0009,66062,2019,5,21,0,1,N
IDCJAC0009,66062,2019,5,22,0,1,N
IDCJAC0009,66062,2019,5,23,0,1,N
IDCJAC0009,66062,2019,5,24,0,1,N
IDCJAC0009,66062,2019,5,25,0,1,N
IDCJAC0009,66062,2019,5,26,0,1,N
IDCJAC0009,66062,2019,5,27,0,1,N
IDCJAC0009,66062,2019,5,28,0,1,N
IDCJAC0009,66062,2019,5,29,0,1,N
IDCJAC0009,66062,2019,5,30,0,1,N
IDCJAC0009,66062,2019,5,31,0,1,N
IDCJAC0009,66062,2019,6,1,0,1,N
IDCJAC0009,66062,2019,6,2,0,1,N
IDCJAC0009,66062,2019,6,3,0,1,N
IDCJAC0009,66062,2019,6,4,18.2,1,N
IDCJAC0009,66062,2019,6,5,11.6,1,N
IDCJAC0009,66062,2019,6,6,12.8,1,N
IDCJAC0009,66062,2019,6,7,0.2,1,N
IDCJAC0009,66062,2019,6,8,4.2,1,N
IDCJAC0009,66062,2019,6,9,0,1,N
IDCJAC0009,66062,2019,6,10,0,1,N
IDCJAC0009,66062,2019,6,11,0,1,N
IDCJAC0009,66062,2019,6,12,0,1,N
IDCJAC0009,66062,2019,6,13,0,1,N
IDCJAC0009,66062,2019,6,14,0,1,N
IDCJAC0009,66062,2019,6,15,0,1,N
IDCJAC0009,66062,2019,6,16,22.4,1,N
IDCJAC0009,66062,2019,6,17,4,1,N
IDCJAC0009,66062,2019,6,18,33.6,1,N
IDCJAC0009,66062,2019,6,19,0.2,1,N
IDCJAC0009,66062,2019,6,20,0,1,N
IDCJAC0009,66062,2019,6,21,0,1,N
IDCJAC0009,66062,2019,6,22,0,1,N
IDCJAC0009,66062,2019,6,23,2,1,N
IDCJAC0009,66062,2019,6,24,34.2,1,N
IDCJAC0009,66062,2019,6,25,11.2,1,N
IDCJAC0009,66062,2019,6,26,14,1,N
IDCJAC0009,66062,2019,6,27,2.6,1,N
IDCJAC0009,66062,2019,6,28,0.2,1,N
IDCJAC0009,66062,2019,6,29,0,1,N
IDCJAC0009,66062,2019,6,30,0,1,N
IDCJAC0009,66062,2019,7,1,0,1,N
IDCJAC0009,66062,2019,7,2,0,1,N
IDCJAC0009,66062,2019,7,3,0,1,N
IDCJAC0009,66062,2019,7,4,1.4,1,N
IDCJAC0009,66062,2019,7,5,22.8,1,N
IDCJAC0009,66062,2019,7,6,2.6,1,N
IDCJAC0009,66062,2019,7,7,1,1,N
IDCJAC0009,66062,2019,7,8,0,1,N
IDCJAC0009,66062,2019,7,9,0.2,1,N
IDCJAC0009,66062,2019,7,10,0,1,N
IDCJAC0009,66062,2019,7,11,0,1,N
IDCJAC0009,66062,2019,7,12,0,1,N
IDCJAC0009,66062,2019,7,13,0,1,N
IDCJAC0009,66062,2019,7,14,0,1,N
IDCJAC0009,66062,2019,7,15,0,1,N
IDCJAC0009,66062,2019,7,16,0,1,N
IDCJAC0009,66062,2019,7,17,0,1,N
IDCJAC0009,66062,2019,7,18,0,1,N
IDCJAC0009,66062,2019,7,19,0,1,N
IDCJAC0009,66062,2019,7,20,0,1,N
IDCJAC0009,66062,2019,7,21,0,1,N
IDCJAC0009,66062,2019,7,22,0,1,N
IDCJAC0009,66062,2019,7,23,0,1,N
IDCJAC0009,66062,2019,7,24,0,1,N
IDCJAC0009,66062,2019,7,25,0,1,N
IDCJAC0009,66062,2019,7,26,0,1,N
IDCJAC0009,66062,2019,7,27,0,1,N
IDCJAC0009,66062,2019,7,28,0,1,N
IDCJAC0009,66062,2019,7,29,0,1,N
IDCJAC0009,66062,2019,7,30,4.2,1,N
IDCJAC0009,66062,2019,7,31,11.2,1,N
IDCJAC0009,66062,2019,8,1,2.8,1,N
IDCJAC0009,66062,2019,8,2,0.2,1,N
IDCJAC0009,66062,2019,8,3,0,1,N
IDCJAC0009,66062,2019,8,4,0,1,N
IDCJAC0009,66062,2019,8,5,0,1,N
IDCJAC0009,66062,2019,8,6,0,1,N
IDCJAC0009,66062,2019,8,7,0,1,N
IDCJAC0009,66062,2019,8,8,0,1,N
IDCJAC0009,66062,2019,8,9,0,1,N
IDCJAC0009,66062,2019,8,10,0,1,N
IDCJAC0009,66062,2019,8,11,0,1,N
IDCJAC0009,66062,2019,8,12,0.2,1,N
IDCJAC0009,66062,2019,8,13,0,1,N
IDCJAC0009,66062,2019,8,14,0,1,N
IDCJAC0009,66062,2019,8,15,0,1,N
IDCJAC0009,66062,2019,8,16,0,1,N
IDCJAC0009,66062,2019,8,17,0,1,N
IDCJAC0009,66062,2019,8,18,0,1,N
IDCJAC0009,66062,2019,8,19,0,1,N
IDCJAC0009,66062,2019,8,20,0,1,N
IDCJAC0009,66062,2019,8,21,0,1,N
IDCJAC0009,66062,2019,8,22,0,1,N
IDCJAC0009,66062,2019,8,23,0,1,N
IDCJAC0009,66062,2019,8,24,0,1,N
IDCJAC0009,66062,2019,8,25,0,1,N
IDCJAC0009,66062,2019,8,26,0,1,N
IDCJAC0009,66062,2019,8,27,3.8,1,N
IDCJAC0009,66062,2019,8,28,0.4,1,N
IDCJAC0009,66062,2019,8,29,0.2,1,N
IDCJAC0009,66062,2019,8,30,43,1,N
IDCJAC0009,66062,2019,8,31,22.4,1,N
IDCJAC0009,66062,2019,9,1,0,1,N
IDCJAC0009,66062,2019,9,2,0,1,N
IDCJAC0009,66062,2019,9,3,0,1,N
IDCJAC0009,66062,2019,9,4,0,1,N
IDCJAC0009,66062,2019,9,5,0,1,N
IDCJAC0009,66062,2019,9,6,0,1,N
IDCJAC0009,66062,2019,9,7,0.2,1,N
